"CpG_pos","Coefficient","CpG_pos_hg19"
"chr15:78571905:78571906",1.008175869,"chr15:78864247:78864248"
"chr7:131324282:131324283",-0.994196113,"chr7:131009041:131009042"
"chr1:207823637:207823638",-0.973109685,"chr1:207996982:207996983"
"chr13:95801693:95801694",0.949718662,"chr13:96453947:96453948"
"chr1:242623493:242623494",-0.943461404,"chr1:242786795:242786796"
"chr7:87608676:87608677",-0.933089853,"chr7:87237992:87237993"
"chr10:22011246:22011247",-0.929058746,"chr10:22300175:22300176"
"chr8:115664711:115664712",-0.924111944,"chr8:116676938:116676939"
"chr12:9878422:9878423",-0.90495109,"chr12:10031021:10031022"
"chr8:84183802:84183803",0.898917532,"chr8:85096037:85096038"
"chr6:99868306:99868307",0.888324191,"chr6:100316182:100316183"
"chr1:227438084:227438085",-0.864546073,"chr1:227625785:227625786"
"chr7:90701634:90701635",-0.849215454,"chr7:90330948:90330949"
"chr16:13630766:13630767",-0.848815489,"chr16:13724623:13724624"
"chr10:22324431:22324432",-0.831783996,"chr10:22613360:22613361"
"chr5:140041294:140041295",-0.813420546,"chr5:139420879:139420880"
"chr2:157627572:157627573",-0.802614019,"chr2:158484084:158484085"
"chr10:22337664:22337665",0.788311174,"chr10:22626593:22626594"
"chr5:64165430:64165431",-0.785368367,"chr5:63461257:63461258"
"chr1:40708899:40708900",0.781567641,"chr1:41174571:41174572"
"chr11:126219878:126219879",0.756174757,"chr11:126089773:126089774"
"chr6:26311326:26311327",0.747759105,"chr6:26311554:26311555"
"chr8:123074973:123074974",0.743459174,"chr8:124087213:124087214"
"chr15:87570438:87570439",-0.740466146,"chr15:88113669:88113670"
"chr12:96144127:96144128",0.690218703,"chr12:96537905:96537906"
"chr12:18861409:18861410",-0.670566459,"chr12:19014343:19014344"
"chr10:119575584:119575585",-0.663849762,"chr10:121335096:121335097"
"chr20:26340661:26340662",-0.662238042,NA
"chr7:29878140:29878141",-0.653411679,"chr7:29917756:29917757"
"chr17:20705169:20705170",0.62847337,"chr17:20608482:20608483"
"chr1:89225512:89225513",-0.601642367,"chr1:89691195:89691196"
"chr15:41659858:41659859",0.598069632,"chr15:41952056:41952057"
"chr2:163733172:163733173",-0.597452434,"chr2:164589682:164589683"
"chr6:138442103:138442104",0.583165086,"chr6:138763240:138763241"
"chr14:64542466:64542467",0.580718943,"chr14:65009184:65009185"
"chr3:51707428:51707429",0.576079265,"chr3:51741444:51741445"
"chr2:163728284:163728285",-0.560353292,"chr2:164584794:164584795"
"chr5:141393114:141393115",0.556507447,"chr5:140772681:140772682"
"chr11:29432556:29432557",-0.548666113,"chr11:29454103:29454104"
"chr5:166994179:166994180",-0.546196406,"chr5:166421184:166421185"
"chr4:104559767:104559768",-0.54610664,"chr4:105480924:105480925"
"chr5:142577237:142577238",-0.543879434,"chr5:141956802:141956803"
"chr11:119592660:119592661",-0.526936753,"chr11:119463372:119463373"
"chr2:163734144:163734145",-0.515633072,"chr2:164590654:164590655"
"chr1:61852338:61852339",-0.515458679,"chr1:62318010:62318011"
"chr2:123884491:123884492",-0.510073293,"chr2:124642068:124642069"
"chr13:19927255:19927256",-0.50613959,"chr13:20501395:20501396"
"chr6:55023503:55023504",0.498007169,"chr6:54888301:54888302"
"chr5:162174385:162174386",0.481213045,"chr5:161601391:161601392"
"chr1:90717528:90717529",0.476521668,"chr1:91183085:91183086"
"chr11:67021981:67021982",0.476012569,"chr11:66789452:66789453"
"chr8:38384794:38384795",-0.472693708,"chr8:38242312:38242313"
"chr11:35663413:35663414",0.462226101,"chr11:35684961:35684962"
"chr6:133892581:133892582",0.460832749,"chr6:134213719:134213720"
"chr2:163732992:163732993",-0.454828748,"chr2:164589502:164589503"
"chr14:103635894:103635895",0.454590681,"chr14:104102231:104102232"
"chr8:90082625:90082626",0.452214073,"chr8:91094853:91094854"
"chr11:35392116:35392117",-0.446263325,"chr11:35413663:35413664"
"chr5:64165174:64165175",-0.444469141,"chr5:63461001:63461002"
"chr8:54653093:54653094",-0.435526065,"chr8:55565653:55565654"
"chr9:94608083:94608084",0.431625395,"chr9:97370365:97370366"
"chr9:117495074:117495075",-0.429642213,"chr9:120257352:120257353"
"chr12:122890184:122890185",0.425865339,"chr12:123374731:123374732"
"chr8:103354032:103354033",0.424438273,"chr8:104366260:104366261"
"chr18:47504005:47504006",-0.422964717,"chr18:45030376:45030377"
"chr18:57429930:57429931",0.422666458,"chr18:55097162:55097163"
"chr12:40107462:40107463",-0.419798307,"chr12:40501264:40501265"
"chr10:95889864:95889865",0.418476152,"chr10:97649621:97649622"
"chr20:23637041:23637042",-0.415151446,"chr20:23617678:23617679"
"chr5:64165235:64165236",-0.415085081,"chr5:63461062:63461063"
"chr2:66421266:66421267",-0.41148929,"chr2:66648398:66648399"
"chr14:69116958:69116959",0.408827719,"chr14:69583675:69583676"
"chr7:72357235:72357236",-0.408817192,"chr7:71822220:71822221"
"chr2:163729639:163729640",-0.403894305,"chr2:164586149:164586150"
"chr10:22322823:22322824",-0.397809568,"chr10:22611752:22611753"
"chr1:73499646:73499647",-0.397650208,"chr1:73965329:73965330"
"chr12:68211599:68211600",-0.395708951,"chr12:68605379:68605380"
"chr2:148509943:148509944",-0.389342052,"chr2:149267512:149267513"
"chr2:236084277:236084278",0.38859196,"chr2:236992921:236992922"
"chr10:111268044:111268045",-0.385509721,"chr10:113027802:113027803"
"chr2:163600614:163600615",0.384299483,"chr2:164457124:164457125"
"chr2:66421261:66421262",-0.380102338,"chr2:66648393:66648394"
"chr7:18590997:18590998",-0.379903509,"chr7:18630620:18630621"
"chr1:94419730:94419731",0.379204469,"chr1:94885286:94885287"
"chr6:55033887:55033888",-0.375352879,"chr6:54898685:54898686"
"chr2:36646317:36646318",-0.367928159,"chr2:36873460:36873461"
"chr1:207823681:207823682",-0.366027982,"chr1:207997026:207997027"
"chr9:23825956:23825957",0.36390576,"chr9:23825954:23825955"
"chr9:21973993:21973994",0.361808226,"chr9:21973992:21973993"
"chr3:101154084:101154085",-0.359021638,"chr3:100872928:100872929"
"chr13:77327696:77327697",-0.357880594,"chr13:77901831:77901832"
"chr7:63790946:63790947",0.355594894,"chr7:63251324:63251325"
"chr18:31041155:31041156",0.354106241,"chr18:28621121:28621122"
"chr16:23803504:23803505",-0.353345345,"chr16:23814825:23814826"
"chr17:30000189:30000190",-0.35205025,"chr17:28327207:28327208"
"chr2:197328961:197328962",-0.351831804,"chr2:198193685:198193686"
"chr17:11705394:11705395",-0.348987104,"chr17:11608711:11608712"
"chr17:26656881:26656882",-0.346763945,NA
"chr10:22334015:22334016",0.341370264,"chr10:22622944:22622945"
"chr2:120175566:120175567",-0.34116333,"chr2:120933142:120933143"
"chr2:163733520:163733521",-0.34073408,"chr2:164590030:164590031"
"chr12:97264343:97264344",0.337949384,"chr12:97658121:97658122"
"chr4:134187090:134187091",0.336004492,"chr4:135108245:135108246"
"chr2:8982265:8982266",0.335583748,"chr2:9122394:9122395"
"chr5:75052151:75052152",-0.332290677,"chr5:74347976:74347977"
"chr6:40999576:40999577",-0.33158901,"chr6:40967315:40967316"
"chr12:113970617:113970618",0.329873003,"chr12:114408422:114408423"
"chr12:129525734:129525735",-0.329141327,"chr12:130010279:130010280"
"chr7:122736922:122736923",0.32427991,"chr7:122376976:122376977"
"chr13:67232392:67232393",-0.323098582,"chr13:67806524:67806525"
"chr14:28653511:28653512",-0.320710758,"chr14:29122717:29122718"
"chr3:64657031:64657032",0.320413511,"chr3:64642707:64642708"
"chr16:22848722:22848723",0.319847474,"chr16:22860043:22860044"
"chr14:48399630:48399631",-0.319437285,"chr14:48868833:48868834"
"chr12:62301035:62301036",0.317873714,"chr12:62694816:62694817"
"chr2:75870484:75870485",0.315235356,"chr2:76097610:76097611"
"chr15:86655483:86655484",0.312644521,"chr15:87198714:87198715"
"chr16:50749823:50749824",-0.311558907,"chr16:50783734:50783735"
"chr8:123097485:123097486",0.309658546,"chr8:124109725:124109726"
"chr16:86566660:86566661",0.306654966,"chr16:86600266:86600267"
"chr2:147858348:147858349",0.305572887,"chr2:148615917:148615918"
"chr14:58331564:58331565",-0.299486815,"chr14:58798282:58798283"
"chr5:38586033:38586034",0.295849018,"chr5:38586135:38586136"
"chr1:177102983:177102984",-0.2923805,"chr1:177072119:177072120"
"chr5:141373851:141373852",0.290934231,"chr5:140753418:140753419"
"chr5:141373848:141373849",0.290643572,"chr5:140753415:140753416"
"chr6:99868298:99868299",0.289978955,"chr6:100316174:100316175"
"chr15:34619961:34619962",-0.289452423,"chr15:34912162:34912163"
"chr5:180548792:180548793",0.288863083,"chr5:179975792:179975793"
"chr1:155071863:155071864",0.286727141,"chr1:155044339:155044340"
"chr17:66305372:66305373",-0.285182619,"chr17:64301490:64301491"
"chr4:79576742:79576743",-0.282354013,"chr4:80497896:80497897"
"chr16:8449006:8449007",-0.281733867,"chr16:8499008:8499009"
"chr5:141393862:141393863",0.281409727,"chr5:140773429:140773430"
"chr14:64542455:64542456",0.279638994,"chr14:65009173:65009174"
"chr3:112586700:112586701",0.278309779,"chr3:112305547:112305548"
"chr17:49133395:49133396",0.277530577,"chr17:47210757:47210758"
"chr2:208647950:208647951",-0.276493284,"chr2:209512674:209512675"
"chr4:73460593:73460594",-0.276246544,"chr4:74326310:74326311"
"chr5:140041317:140041318",-0.273002681,"chr5:139420902:139420903"
"chr13:103062932:103062933",0.272772761,"chr13:103715282:103715283"
"chr6:46539281:46539282",-0.272657805,"chr6:46507018:46507019"
"chr3:26236698:26236699",-0.270126329,"chr3:26278189:26278190"
"chr4:4857624:4857625",0.269362709,"chr4:4859351:4859352"
"chr3:71429763:71429764",-0.268123543,"chr3:71478914:71478915"
"chr13:77696652:77696653",-0.265037746,"chr13:78270787:78270788"
"chr15:84982965:84982966",-0.260464452,"chr15:85526196:85526197"
"chr1:73499855:73499856",-0.259039594,"chr1:73965538:73965539"
"chr6:119077510:119077511",-0.25896292,"chr6:119398675:119398676"
"chr1:113393222:113393223",-0.257331772,"chr1:113935844:113935845"
"chr4:37640086:37640087",-0.256514619,"chr4:37641708:37641709"
"chr6:157037141:157037142",-0.25651242,"chr6:157358275:157358276"
"chr14:103505975:103505976",0.256229497,"chr14:103972312:103972313"
"chr6:1523985:1523986",0.254532028,"chr6:1524220:1524221"
"chr3:168211347:168211348",-0.252722398,"chr3:167929135:167929136"
"chr15:59995899:59995900",0.25086456,"chr15:60288098:60288099"
"chr2:130337144:130337145",0.250411843,"chr2:131094717:131094718"
"chr9:23825962:23825963",0.250179747,"chr9:23825960:23825961"
"chr2:66427651:66427652",-0.249173807,"chr2:66654783:66654784"
"chr2:163618971:163618972",0.248708294,"chr2:164475481:164475482"
"chr10:22339698:22339699",0.248180851,"chr10:22628627:22628628"
"chr15:41659864:41659865",0.247699661,"chr15:41952062:41952063"
"chr2:217450266:217450267",0.247284458,"chr2:218314989:218314990"
"chr7:99918664:99918665",-0.246109728,"chr7:99516287:99516288"
"chr8:63159098:63159099",-0.24302481,"chr8:64071657:64071658"
"chr19:15419578:15419579",-0.242173269,"chr19:15530389:15530390"
"chr14:41798304:41798305",-0.240554351,"chr14:42267507:42267508"
"chr19:33349147:33349148",-0.239252307,"chr19:33840053:33840054"
"chr11:119592653:119592654",-0.239035783,"chr11:119463365:119463366"
"chr15:64271919:64271920",0.237057389,"chr15:64564118:64564119"
"chr7:131325018:131325019",-0.234649234,"chr7:131009777:131009778"
"chr11:20839469:20839470",0.233878541,"chr11:20861015:20861016"
"chr1:24391817:24391818",-0.232614359,"chr1:24718307:24718308"
"chr2:176111218:176111219",0.23237834,"chr2:176975946:176975947"
"chr5:175298776:175298777",-0.232093159,"chr5:174725779:174725780"
"chr2:66427386:66427387",-0.231737387,"chr2:66654518:66654519"
"chr4:83112720:83112721",0.229734443,"chr4:84033873:84033874"
"chr4:93830570:93830571",0.229207272,"chr4:94751721:94751722"
"chr3:107741505:107741506",-0.22760825,"chr3:107460352:107460353"
"chr14:20633606:20633607",0.225050859,"chr14:21101765:21101766"
"chr7:122758830:122758831",0.222419305,"chr7:122398884:122398885"
"chr1:44305954:44305955",0.222099951,"chr1:44771626:44771627"
"chr7:122671758:122671759",0.221382303,"chr7:122311812:122311813"
"chr4:145759462:145759463",0.220435803,"chr4:146680614:146680615"
"chr11:134096470:134096471",0.220391281,"chr11:133966365:133966366"
"chr3:50950950:50950951",-0.219065907,"chr3:50988381:50988382"
"chr15:46871511:46871512",0.218343392,"chr15:47163709:47163710"
"chr3:143847593:143847594",-0.21363777,"chr3:143566435:143566436"
"chr7:122737034:122737035",0.213379008,"chr7:122377088:122377089"
"chr7:122532520:122532521",0.21138645,"chr7:122172574:122172575"
"chr16:34668144:34668145",0.211278851,NA
"chr10:22323740:22323741",-0.208174409,"chr10:22612669:22612670"
"chr7:51510111:51510112",-0.206329639,"chr7:51577808:51577809"
"chr14:19445578:19445579",-0.206001007,"chr14:20031331:20031332"
"chr16:86566666:86566667",0.205517669,"chr16:86600272:86600273"
"chr6:147206610:147206611",-0.204581121,"chr6:147527746:147527747"
"chr18:44682230:44682231",-0.204156791,"chr18:42262195:42262196"
"chr1:167600125:167600126",-0.202938715,"chr1:167569362:167569363"
"chr14:64542457:64542458",0.201941565,"chr14:65009175:65009176"
"chr14:56815952:56815953",0.200386551,"chr14:57282670:57282671"
"chr12:95709170:95709171",-0.200014471,"chr12:96102948:96102949"
"chr18:22983389:22983390",-0.199750414,"chr18:20563352:20563353"
"chr4:145927079:145927080",0.199136288,"chr4:146848231:146848232"
"chr5:105216295:105216296",-0.198884516,"chr5:104551996:104551997"
"chr4:83054827:83054828",-0.197672357,"chr4:83975980:83975981"
"chr21:14215799:14215800",-0.197062919,"chr21:15588120:15588121"
"chr12:87820681:87820682",0.196312293,"chr12:88214458:88214459"
"chr7:35258799:35258800",0.194004532,"chr7:35298410:35298411"
"chr7:20793966:20793967",0.193862809,"chr7:20833585:20833586"
"chr2:130337099:130337100",0.192352992,"chr2:131094672:131094673"
"chr3:68745215:68745216",0.191930362,"chr3:68794366:68794367"
"chr14:56799338:56799339",0.191198488,"chr14:57266056:57266057"
"chr15:86617567:86617568",0.189745613,"chr15:87160798:87160799"
"chr15:37102981:37102982",0.189323844,"chr15:37395182:37395183"
"chr13:95801707:95801708",0.188120147,"chr13:96453961:96453962"
"chr6:135440307:135440308",-0.188103377,"chr6:135761445:135761446"
"chr17:45150938:45150939",-0.187911752,"chr17:43228305:43228306"
"chr14:79798533:79798534",0.186973,"chr14:80264876:80264877"
"chr3:181111212:181111213",0.186093172,"chr3:180829000:180829001"
"chr3:147397957:147397958",0.18565101,"chr3:147115744:147115745"
"chr2:163733555:163733556",-0.185455043,"chr2:164590065:164590066"
"chr20:47353422:47353423",0.181869516,"chr20:45982166:45982167"
"chr5:157511576:157511577",-0.1818082,"chr5:156938584:156938585"
"chr2:163634546:163634547",0.180443068,"chr2:164491056:164491057"
"chr16:52921660:52921661",0.180368406,"chr16:52955572:52955573"
"chr14:88662102:88662103",0.179911386,"chr14:89128446:89128447"
"chr1:110068486:110068487",0.179328612,"chr1:110611108:110611109"
"chr2:130337183:130337184",0.179196434,"chr2:131094756:131094757"
"chr9:117882344:117882345",0.179065411,"chr9:120644622:120644623"
"chr8:27613871:27613872",-0.1780187,"chr8:27471388:27471389"
"chr17:44829199:44829200",0.177995963,"chr17:42906567:42906568"
"chr18:31040816:31040817",0.177700487,"chr18:28620782:28620783"
"chr6:24355689:24355690",-0.176693933,"chr6:24355917:24355918"
"chr2:163668722:163668723",0.176353653,"chr2:164525232:164525233"
"chr2:163734679:163734680",-0.176227405,"chr2:164591189:164591190"
"chr1:12398332:12398333",-0.176190894,"chr1:12458389:12458390"
"chr7:127245806:127245807",-0.175674593,"chr7:126885860:126885861"
"chr8:73613763:73613764",0.174996044,"chr8:74525998:74525999"
"chr2:176762265:176762266",-0.174587052,"chr2:177626993:177626994"
"chr4:98613025:98613026",0.17410244,"chr4:99534176:99534177"
"chr7:93922706:93922707",-0.173539234,"chr7:93552018:93552019"
"chr1:90717534:90717535",0.173182491,"chr1:91183091:91183092"
"chr2:216695424:216695425",0.173173034,"chr2:217560147:217560148"
"chr6:37972062:37972063",0.172292306,"chr6:37939838:37939839"
"chr14:104366003:104366004",-0.17143925,"chr14:104832340:104832341"
"chr22:27832243:27832244",0.171411525,"chr22:28228231:28228232"
"chr7:31204243:31204244",-0.170134502,"chr7:31243857:31243858"
"chr3:179654240:179654241",0.169930989,"chr3:179372028:179372029"
"chr4:41281127:41281128",-0.169473886,"chr4:41283144:41283145"
"chr5:93161646:93161647",-0.169294122,"chr5:92497352:92497353"
"chr7:122349711:122349712",0.169160803,"chr7:121989765:121989766"
"chr4:163447672:163447673",-0.16804329,"chr4:164368824:164368825"
"chr4:145926894:145926895",0.167816203,"chr4:146848046:146848047"
"chr7:7541683:7541684",-0.167741463,"chr7:7581314:7581315"
"chr10:13527425:13527426",-0.167083431,"chr10:13569425:13569426"
"chr9:5510595:5510596",-0.166836074,"chr9:5510595:5510596"
"chr7:148711488:148711489",0.166563957,"chr7:148408580:148408581"
"chr16:69709998:69709999",-0.166174636,"chr16:69743901:69743902"
"chr10:63424984:63424985",0.164550317,"chr10:65184744:65184745"
"chr4:81468807:81468808",0.163837402,"chr4:82389961:82389962"
"chr10:30476953:30476954",-0.163291322,"chr10:30765882:30765883"
"chr6:79079512:79079513",0.160903327,"chr6:79789229:79789230"
"chr20:49912181:49912182",-0.158651424,"chr20:48528718:48528719"
"chr12:58244912:58244913",-0.158167304,"chr12:58638695:58638696"
"chr9:119009312:119009313",-0.158106254,"chr9:121771590:121771591"
"chr7:101547776:101547777",-0.158079508,"chr7:101191057:101191058"
"chr2:208619682:208619683",-0.156723549,"chr2:209484407:209484408"
"chr5:64165405:64165406",-0.156632443,"chr5:63461232:63461233"
"chr6:99868294:99868295",0.156029418,"chr6:100316170:100316171"
"chr18:77360080:77360081",-0.155826113,"chr18:75072036:75072037"
"chr1:75136000:75136001",0.155086745,"chr1:75601685:75601686"
"chr14:57889162:57889163",-0.154565525,"chr14:58355880:58355881"
"chr19:13016299:13016300",0.152932092,"chr19:13127113:13127114"
"chr6:36547668:36547669",0.152926003,"chr6:36515445:36515446"
"chr5:64195964:64195965",-0.152013751,"chr5:63491791:63491792"
"chr3:152188790:152188791",-0.15167189,"chr3:151906579:151906580"
"chr19:36369093:36369094",-0.151578772,"chr19:36859995:36859996"
"chr5:13135197:13135198",0.151518427,"chr5:13135309:13135310"
"chr2:163733541:163733542",-0.151492167,"chr2:164590051:164590052"
"chr3:117527898:117527899",-0.151160279,"chr3:117246745:117246746"
"chr19:41034250:41034251",0.150769739,"chr19:41540155:41540156"
"chr3:152233504:152233505",-0.150594102,"chr3:151951293:151951294"
"chr12:62466048:62466049",-0.150445081,"chr12:62859828:62859829"
"chr18:56907225:56907226",0.150404075,"chr18:54574456:54574457"
"chr12:133036859:133036860",0.149952943,"chr12:133613445:133613446"
"chr2:188696221:188696222",0.149821486,"chr2:189560948:189560949"
"chr8:29297543:29297544",-0.149256825,"chr8:29155060:29155061"
"chr2:8965670:8965671",0.148769984,"chr2:9105799:9105800"
"chr12:97042274:97042275",0.148725861,"chr12:97436052:97436053"
"chr7:112639446:112639447",-0.148171216,"chr7:112279501:112279502"
"chr8:115468000:115468001",0.146446351,"chr8:116480227:116480228"
"chr2:207324651:207324652",0.146308613,"chr2:208189375:208189376"
"chr14:51658666:51658667",0.146300984,"chr14:52125384:52125385"
"chr2:163720359:163720360",0.146120529,"chr2:164576869:164576870"
"chr7:134990719:134990720",0.146053066,"chr7:134675470:134675471"
"chr22:48225054:48225055",-0.145285593,"chr22:48620866:48620867"
"chr20:16175624:16175625",0.14504434,"chr20:16156269:16156270"
"chr13:48412693:48412694",0.14486517,"chr13:48986829:48986830"
"chr9:117495007:117495008",-0.143797345,"chr9:120257285:120257286"
"chr7:34311785:34311786",-0.143301423,"chr7:34351397:34351398"
"chr1:182588477:182588478",-0.143051968,"chr1:182557612:182557613"
"chr3:83540735:83540736",-0.142931162,"chr3:83589886:83589887"
"chr20:52980210:52980211",-0.142872665,"chr20:51596749:51596750"
"chr4:145908132:145908133",0.142302168,"chr4:146829284:146829285"
"chr5:14147581:14147582",0.141969359,"chr5:14147690:14147691"
"chr14:79551579:79551580",0.14141206,"chr14:80017922:80017923"
"chr22:28885617:28885618",0.140917343,"chr22:29281605:29281606"
"chr8:64575261:64575262",0.140481731,"chr8:65487818:65487819"
"chr1:200043085:200043086",0.14017694,"chr1:200012213:200012214"
"chr6:100454691:100454692",0.138885202,"chr6:100902567:100902568"
"chr7:122329682:122329683",0.138208501,"chr7:121969736:121969737"
"chr13:57628745:57628746",0.137136024,"chr13:58202879:58202880"
"chr9:117494886:117494887",-0.137007913,"chr9:120257164:120257165"
"chr18:44127144:44127145",0.136825528,"chr18:41707109:41707110"
"chr3:147409569:147409570",0.136641065,"chr3:147127356:147127357"
"chr20:10486021:10486022",0.136339699,"chr20:10466669:10466670"
"chr6:4139718:4139719",-0.134696629,"chr6:4139952:4139953"
"chr15:55641769:55641770",-0.133792854,"chr15:55933967:55933968"
"chr3:64657010:64657011",0.133315747,"chr3:64642686:64642687"
"chr7:107976032:107976033",0.132246641,"chr7:107616477:107616478"
"chr13:49257879:49257880",-0.132141803,"chr13:49832015:49832016"
"chr6:4139725:4139726",-0.131950283,"chr6:4139959:4139960"
"chr2:130337030:130337031",0.131028341,"chr2:131094603:131094604"
"chr2:232235069:232235070",0.130823079,"chr2:233099779:233099780"
"chr15:96327215:96327216",0.130814116,"chr15:96870444:96870445"
"chr8:31671302:31671303",0.130217067,"chr8:31528818:31528819"
"chr7:12656876:12656877",0.130158906,"chr7:12696501:12696502"
"chr10:22318389:22318390",-0.129927339,"chr10:22607318:22607319"
"chr8:76681382:76681383",0.129183534,"chr8:77593617:77593618"
"chr13:99895822:99895823",0.12915216,"chr13:100548076:100548077"
"chr7:110532959:110532960",0.128438275,"chr7:110173016:110173017"
"chr5:64165237:64165238",-0.128385118,"chr5:63461064:63461065"
"chr6:26066606:26066607",-0.127381657,"chr6:26066834:26066835"
"chr3:38185603:38185604",-0.127322792,"chr3:38227094:38227095"
"chr3:146327352:146327353",-0.127292063,"chr3:146045139:146045140"
"chr1:217139482:217139483",0.127040746,"chr1:217312824:217312825"
"chr10:32056936:32056937",-0.126719918,"chr10:32345864:32345865"
"chr19:47422385:47422386",0.12660014,"chr19:47925642:47925643"
"chr10:22332921:22332922",-0.126591647,"chr10:22621850:22621851"
"chr12:108905125:108905126",-0.125608686,"chr12:109298901:109298902"
"chr19:10267856:10267857",-0.125066455,"chr19:10378532:10378533"
"chr20:49405928:49405929",-0.124920889,"chr20:48022465:48022466"
"chr5:161160974:161160975",-0.124477104,"chr5:160587981:160587982"
"chr18:49559487:49559488",-0.124260877,"chr18:47085857:47085858"
"chr15:69243448:69243449",0.124183572,"chr15:69535787:69535788"
"chr6:13666320:13666321",0.123973135,"chr6:13666552:13666553"
"chr16:56676401:56676402",0.12388985,"chr16:56710313:56710314"
"chr5:151924986:151924987",0.123533775,"chr5:151304547:151304548"
"chr7:122885426:122885427",-0.123467659,"chr7:122525480:122525481"
"chr6:75598651:75598652",-0.122705581,"chr6:76308367:76308368"
"chr3:135426054:135426055",-0.122367214,"chr3:135144896:135144897"
"chr4:158655194:158655195",0.122300527,"chr4:159576346:159576347"
"chr5:31581712:31581713",-0.122230534,"chr5:31581819:31581820"
"chr7:122585045:122585046",0.122146154,"chr7:122225099:122225100"
"chr9:86434063:86434064",-0.121139084,"chr9:89048978:89048979"
"chr12:115874199:115874200",-0.121094545,"chr12:116312004:116312005"
"chr3:93736953:93736954",-0.120973972,NA
"chr16:50767960:50767961",-0.120968312,"chr16:50801871:50801872"
"chr12:7440433:7440434",0.120663749,"chr12:7593029:7593030"
"chr6:10395606:10395607",0.120591368,"chr6:10395839:10395840"
"chr1:87204522:87204523",-0.120308228,"chr1:87670205:87670206"
"chr5:128237563:128237564",0.120275718,"chr5:127573255:127573256"
"chr16:86566669:86566670",0.120069016,"chr16:86600275:86600276"
"chr2:187581054:187581055",-0.119432721,"chr2:188445781:188445782"
"chr15:69633685:69633686",-0.11932361,"chr15:69926024:69926025"
"chr17:6843569:6843570",-0.119133713,"chr17:6746888:6746889"
"chr5:14399357:14399358",-0.118655197,"chr5:14399466:14399467"
"chr2:163733423:163733424",-0.118116539,"chr2:164589933:164589934"
"chr12:21775727:21775728",-0.117860251,"chr12:21928661:21928662"
"chr10:129966356:129966357",0.117686323,"chr10:131764620:131764621"
"chr11:75429774:75429775",0.116991962,"chr11:75140819:75140820"
"chr11:75429780:75429781",0.116615714,"chr11:75140825:75140826"
"chr7:100128539:100128540",-0.11638529,"chr7:99726162:99726163"
"chr2:79078491:79078492",-0.115594835,"chr2:79305617:79305618"
"chr2:66428383:66428384",-0.115237427,"chr2:66655515:66655516"
"chr3:58014789:58014790",0.114331855,"chr3:58000516:58000517"
"chr9:127702289:127702290",0.113657314,"chr9:130464568:130464569"
"chr1:186682623:186682624",-0.113482873,"chr1:186651755:186651756"
"chr7:54799998:54799999",-0.113410075,"chr7:54867691:54867692"
